[Spectrum]
Version            = 1
IDData             = 95A7_2019-05-02_23-19-03_000_017
IDDevice           = SAM_8586
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2019-05-02 23:19:03
 931.08270565893 0.00184650574742986 0 0
 934.33893663 -0.00151451411983271 0 0
 937.59372445487 -0.000544586190810259 0 0
 940.84705729536 -0.000249195898175171 0 0
 944.09892331329 -6.40895724923955e-005 0 0
 947.34931067048 0.000592831242846696 0 0
 950.59820752875 0.00194042463624855 0 0
 953.84560204992 0 0 0
 957.09148239581 0 0 0
 960.33583672824 0 0 0
 963.57865320903 0 0 0
 966.81992 0 0 0
 970.05962526297 0 0 0
 973.29775715976 0 0 0
 976.53430385219 0 0 0
 979.76925350208 0 0 0
 983.00259427125 0 0 0
 986.23431432152 0 0 0
 989.46440181471 0 0 0
 992.69284491264 0 0 0
 995.91963177713 0 0 0
 999.14475057 0 0 0
 1002.36818945307 0 0 0
 1005.58993658816 0 0 0
 1008.80998013709 0 0 0
 1012.02830826168 0 0 0
 1015.24490912375 0 0 0
 1018.45977088512 0 0 0
 1021.67288170761 0 0 0
 1024.88422975304 0 0 0
 1028.09380318323 0 0 0
 1031.30159016 0 0 0
 1034.50757884517 0 0 0
 1037.71175740056 0 0 0
 1040.91411398799 0 0 0
 1044.11463676928 0 0 0
 1047.31331390625 0 0 0
 1050.51013356072 0 0 0
 1053.70508389451 0 0 0
 1056.89815306944 0 0 0
 1060.08932924733 0 0 0
 1063.27860059 0 0 0
 1066.46595525927 0 0 0
 1069.65138141696 0 0 0
 1072.83486722489 0 0 0
 1076.01640084488 0 0 0
 1079.19597043875 0 0 0
 1082.37356416832 0 0 0
 1085.54917019541 0 0 0
 1088.72277668184 0 0 0
 1091.89437178943 0 0 0
 1095.06394368 0 0 0
 1098.23148051537 0 0 0
 1101.39697045736 0 0 0
 1104.56040166779 0 0 0
 1107.72176230848 0 0 0
