[Spectrum]
Version            = 1
IDData             = 95A7_2019-04-05_15-50-10_000_352
IDDevice           = SAM_8589
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2019-04-05 15:50:10
 237 1992 0 0
 238 1998 0 0
 239 1994 0 0
 240 1996 0 0
 241 1998 0 0
 242 2002 0 0
 243 1997 0 0
 244 1994 0 0
 245 1992 0 0
 246 2000 0 0
 247 1987 0 0
 248 1987 0 0
 249 1999 0 0
 250 1995 0 0
 251 1990 0 0
 252 2007 0 0
 253 1990 0 0
 254 1996 0 0
 255 2054 0 0
[END] of [DATA]
[END] of [Spectrum]

[Spectrum]
Version            = 1
IDData             = 95A7_2019-04-05_15-50-30_000_363
IDDevice           = SAM_8589
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2019-04-05 15:50:30
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_8589
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2018-04-12_14-51-44_608_165
IDDataCal = DLAB_2018-04-13_12-52-31_209_732
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $06 Intensity mW/(m^2 nm)
Unit3 = $f0 $06 Error mW/(m^2 nm)
Unit4 = $f1 $00 Status 
p999 = 27
[END] of [Attributes]
[DATA]
 0 11 0 0
 307.52331957488 0 0 0
 310.83625202772 0 0 0
 314.15001779904 0 0 0
 317.464605545 0.00525331859875691 0 0
 320.78000392176 0.00115381294648267 0 0
 324.09620158548 0.00201216524789579 0 0
 327.41318719232 0.00403733943360349 0 0
 330.73094939844 0.00109879722988933 0 0
 334.04947686 0.00163305109899586 0 0
 337.36875823316 0.00136026147358363 0 0
 340.68878217408 -0.000303836781419815 0 0
 344.00953733892 0.000307354575353197 0 0
 347.33101238384 0.00121508189544932 0 0
 350.653195965 0.000363841351964106 0 0
 353.97607673856 0.00111417414655665 0 0
 357.29964336068 0.00116480989842998 0 0
 360.62388448752 0.00129469066396636 0 0
 363.94878877524 0.00160216811819883 0 0
 367.27434488 0.00208245363476722 0 0
 370.60054145796 0.00231580028137901 0 0
 373.92736716528 0.00215707833577853 0 0
 377.25481065812 0.00250253555798185 0 0
 380.58286059264 0.0033564291184453 0 0
 383.911505625 0.0029957840377498 0 0
 387.24073441136 0.00365146536720185 0 0
 390.57053560788 0.00411058093038531 0 0
 393.90089787072 0.00503103666440326 0 0
 397.23180985604 0.00839525400626452 0 0
 400.56326022 0.0394200898544254 0 0
 403.89523761876 0.0662913128909238 0 0
 407.22773070848 0.0584729177632136 0 0
 410.56072814532 0.0300518050573054 0 0
 413.89421858544 0.0240908302347462 0 0
 417.228190685 0.02810209705012 0 0
 420.56263310016 0.0329275902981435 0 0
 423.89753448708 0.0396720722527339 0 0
 427.23288350192 0.0512569969951696 0 0
 430.56866880084 0.160681074835904 0 0
 433.90487904 0.387038779782098 0 0
 437.24150287556 0.418178134526517 0 0
 440.57852896368 0.214027698456496 0 0
 443.91594596052 0.102668649396111 0 0
 447.25374252224 0.0885829342654648 0 0
 450.591907305 0.0912104126154415 0 0
 453.93042896496 0.0933202804392183 0 0
 457.26929615828 0.0944819036335635 0 0
 460.60849754112 0.0937830005745569 0 0
 463.94802176964 0.0921750759785273 0 0
 467.2878575 0.0897192717933153 0 0
 470.62799338836 0.0866194237828951 0 0
 473.96841809088 0.0846417056942536 0 0
 477.30912026372 0.0890009176920895 0 0
 480.65008856304 0.124660521497113 0 0
 483.991311645 0.201814910619933 0 0
 487.33277816576 0.267147778945915 0 0
 490.67447678148 0.267692345847226 0 0
 494.01639614832 0.220945279889866 0 0
 497.35852492244 0.163488979249997 0 0
 500.70085176 0.113018625190494 0 0
 504.04336531716 0.0780778237338762 0 0
 507.38605425008 0.0630757975119519 0 0
 510.72890721492 0.0577997602302896 0 0
 514.07191286784 0.0561631490584655 0 0
 517.415059865 0.0547537736345434 0 0
 520.75833686256 0.0547762608519213 0 0
 524.10173251668 0.0561151366292993 0 0
 527.44523548352 0.0608362510137487 0 0
 530.78883441924 0.0765139031312001 0 0
 534.13251798 0.134371229762983 0 0
 537.47627482196 0.37070308488052 0 0
