99AA01-0717-0068	
This data is for reference only	
1516	0.9874
1517	0.9882
1518	0.9884
1519	0.9887
1520	0.9884
1521	0.9891
1522	0.9885
1523	0.9884
1524	0.9885
1525	0.9887
1526	0.9882
1527	0.9887
1528	0.9887
1529	0.9883
1530	0.9881
1531	0.9888
1532	0.9883
1533	0.9890
1534	0.9881
1535	0.9889
1536	0.9890
1537	0.9881
1538	0.9878
1539	0.9893
1540	0.9885
1541	0.9886
1542	0.9885
1543	0.9887
1544	0.9887
1545	0.9894
1546	0.9877
1547	0.9886
1548	0.9886
1549	0.9882
1550	0.9881
1551	0.9889
1552	0.9883
1553	0.9895
1554	0.9882
1555	0.9888
1556	0.9882
1557	0.9884
1558	0.9878
1559	0.9893
1560	0.9886
1561	0.9886
1562	0.9865
1563	0.9881
1564	0.9880
1565	0.9870
1566	0.9876
1567	0.9894
1568	0.9883
1569	0.9892
1570	0.9881
1571	0.9884
1572	0.9890
1573	0.9886
1574	0.9879
1575	0.9882
1576	0.9879
1577	0.9886
1578	0.9892
1579	0.9878
1580	0.9879
1581	0.9883
1582	0.9880
1583	0.9879
1584	0.9882
1585	0.9890
1586	0.9890
1587	0.9887
1588	0.9875
1589	0.9888
1590	0.9879
1591	0.9878
1592	0.9881
1593	0.9884
1594	0.9871
1595	0.9878
1596	0.9890
1597	0.9881
1598	0.9875
1599	0.9889
1600	0.9878
1601	0.9876
1602	0.9879
1603	0.9870
1604	0.9878
1605	0.9874
1606	0.9876
1607	0.9881
1608	0.9879
1609	0.9878
1610	0.9870
1611	0.9876
1612	0.9875
1613	0.9876
1614	0.9886
1615	0.9881
1616	0.9878
1617	0.9884
1618	0.9867
1619	0.9875
1620	0.9876
1621	0.9868
1622	0.9872
1623	0.9880
1624	0.9879
1625	0.9871
1626	0.9879
1627	0.9876
1628	0.9875
1629	0.9881
1630	0.9870
1631	0.9871
1632	0.9876
1633	0.9878
1634	0.9882
1635	0.9882
1636	0.9873
1637	0.9867
1638	0.9884
1639	0.9880
1640	0.9869
1641	0.9875
1642	0.9862
1643	0.9876
1644	0.9874
1645	0.9869
1646	0.9861
1647	0.9855
1648	0.9853
1649	0.9864
1650	0.9872
1651	0.9871
1652	0.9859
1653	0.9865
1654	0.9860
1655	0.9863
1656	0.9869
1657	0.9862
1658	0.9853
1659	0.9866
1660	0.9858
1661	0.9864
1662	0.9859
1663	0.9857
1664	0.9869
1665	0.9871
1666	0.9854
1667	0.9866
1668	0.9868
1669	0.9855
1670	0.9850
1671	0.9868
1672	0.9881
1673	0.9865
1674	0.9863
1675	0.9848
1676	0.9844
1677	0.9858
1678	0.9887
1679	0.9861
1680	0.9850
1681	0.9844
1682	0.9849
1683	0.9853
1684	0.9882
1685	0.9881
1686	0.9856
1687	0.9848
1688	0.9844
1689	0.9850
1690	0.9877
1691	0.9863
1692	0.9855
1693	0.9840
1694	0.9841
1695	0.9852
1696	0.9874
1697	0.9864
1698	0.9855
1699	0.9838
1700	0.9842
1701	0.9850
1702	0.9867
1703	0.9863
1704	0.9862
1705	0.9837
1706	0.9833
1707	0.9846
1708	0.9853
1709	0.9859
1710	0.9863
1711	0.9831
1712	0.9836
1713	0.9854
1714	0.9866
1715	0.9865
1716	0.9855
1717	0.9833
1718	0.9837
1719	0.9860
1720	0.9875
1721	0.9865
1722	0.9857
1723	0.9837
1724	0.9835
1725	0.9854
1726	0.9870
1727	0.9859
1728	0.9850
1729	0.9843
1730	0.9841
1731	0.9844
1732	0.9869
1733	0.9866
1734	0.9855
1735	0.9844
1736	0.9849
1737	0.9865
1738	0.9883
1739	0.9867
1740	0.9854
1741	0.9845
1742	0.9836
1743	0.9844
1744	0.9859
1745	0.9849
1746	0.9845
1747	0.9833
1748	0.9835
1749	0.9853
1750	0.9882
1751	0.9861
1752	0.9846
1753	0.9833
1754	0.9830
1755	0.9863
1756	0.9877
1757	0.9860
1758	0.9849
1759	0.9842
1760	0.9828
1761	0.9851
1762	0.9877
1763	0.9868
1764	0.9850
1765	0.9824
1766	0.9832
1767	0.9851
1768	0.9868
